,Exact,BH,RVS,ibFFT-CPU,ibFFT-GPU
dwt_72,1.0,1.0,1.0,1.0,1.0
lesmis,0.8440285507718839,0.842611549763563,0.8316679083897351,0.846337629051454,0.8439994938136355
can_96,0.9319406470579311,0.924423456778747,0.9172817178445658,0.9243011823954266,0.9390919208844123
rajat11,0.9354294327596719,0.9354294727881989,0.9251598505278938,0.9355434541810291,0.9357734399536076
jazz,0.7780317657374074,0.776515777078633,0.7660300481201395,0.7785194619244844,0.7776856566766316
visbrazil,0.9296990072522572,0.9297843578673696,0.9154210178337951,0.9301898046842279,0.9304116988016498
grid17,1.0,1.0,1.0,1.0,1.0
mesh3e1,1.0,1.0,1.0,1.0,1.0
netscience,0.9569159063504381,0.9542642861482742,0.9515480966998637,0.9570364954065782,0.9571460065618626
dwt_419,0.9589488729282467,0.9589310163985625,0.9566066373424871,0.9588575590859708,0.9588197450806548
cluster,0.7863673757475841,0.7863536713149486,0.7360619705077079,0.7865104528523981,0.7863130898069619
qh882,0.974243688257024,0.9738137138474325,0.9696478516115136,0.9739893645002591,0.9740282448478663
price_1000,0.9896761840072621,0.9889870059852575,0.9842455115361247,0.9897137745677338,0.9900590170599569
dwt_1005,0.9694740711478176,0.969426338052599,0.9648021525873895,0.9693857070697195,0.969337687993255
cage8,0.9050967173760103,0.9049236760407962,0.8742403250672923,0.9057204849464308,0.9055849161400733
btree9,0.9880146552998431,0.988847869072764,0.9840236813324081,0.9880143020860853,0.9885578288529497
bcsstk09,0.9587459266123293,0.9587605392386715,0.9572783838046204,0.9587868081254122,0.9586002484613626
1138_bus,0.9830277149482649,0.9827592415495351,0.9773325011274462,0.9838138258715408,0.9835310613108398
qh1484,0.983295716752259,0.9831686657952222,0.9786643030115947,0.9829610682326022,0.9829404032800537
clusterHiera,0.8921725231580397,0.8921859700796737,0.8758019189384122,0.8923764848892507,0.8920028428200213
bcspwr07,0.9844371010932671,0.9843459005043339,0.9813191936354956,0.9848811426331239,0.9850746122813161
fidapex6,0.9569672476781182,0.9379124580268814,0.9566169998860206,0.9569232312233336,0.9568517033325079
block_2000,0.9051482454454538,0.905236809919329,0.8907689314511344,0.9056260464953224,0.9048658782661809
sierpinski3d,0.9848937972434797,0.9849524195763187,0.9817875728432656,0.9849765061865925,0.985086937978572
lp_ship04l,0.8742295327219545,0.874736941811126,0.8173259979332389,0.8736061319874239,0.8743317114571066
data,0.9832430943671419,0.9776588719352628,0.9811740319095245,0.9832416651645307,0.983226001250112
3elt,0.992083674446793,0.992053726634029,0.9921620104486435,0.9923435983150378,0.9923073143792444
USPowerGrid,0.9879724140824703,0.9879446303562112,0.9869184939202145,0.9882915353508135,0.9884211377534673
add32,0.9866663873703987,0.9865038742885851,0.9827909018991384,0.9872226216536385,0.9870071169269676
ca-GrQc,0.9236684187338758,0.9233983620245765,0.9184284973682887,0.9271189636405547,0.9269589373514592
commanche,0.9925156338499368,0.9925329993380123,0.9919235742816733,0.9927545051014052,0.9927414311931434
EVA,0.9858777589205288,0.986181394298866,0.982676506413965,0.9866863996666622,0.987306387261721
bcsstk33,0.9517910187847246,0.9470294155373171,0.9407223279647206,0.9519293478039673,0.9524874716995683
whitaker3,1.0,1.0,0.9994149762170499,1.0,1.0
crack,1.0,1.0,0.9988092367477416,0.9999868308275793,1.0
fe_4elt2,0.9922491399823705,0.992178542811808,0.9933336721432093,0.9929002103413932,0.9928862346982698
fidapex11,0.9662612367574122,0.9638030060550744,0.9641746606680319,0.9667515338525613,0.967950194132252
bcsstk31,0.9838257001607655,0.9790854503611394,0.9822575773514041,0.9841197671167501,0.9840941234242176
bcsstk32,0.9824771407280501,0.9764182316201125,0.9826807693129218,0.9828976610157873,0.9829591085548474
finan512,0.9893121753775738,0.989335314943677,0.9860601383333059,0.9891964355352675,0.989186496437209
luxembourg,0.9989887993178528,0.9989862208213202,0.9990093422711066,0.998846223461112,0.9988907774462799
fe_ocean,0.9934996057480567,0.9935097290973435,0.9930906366743294,0.993443066381942,0.9934233886490752
