,Exact,BH,RVS,ibFFT-CPU,ibFFT-GPU
dwt_72,0.5443254266873009,0.5439587831041444,0.5338428532286189,0.5452632919697157,0.5447476229422238
lesmis,0.1317496271000988,0.1422617301132435,0.13935872320328388,0.1417894784288013,0.12795607585011706
can_96,0.3320127692322683,0.3073910563352677,0.3431076677724297,0.3061885033468057,0.34174881656474126
rajat11,0.16608863538364116,0.16490136454832288,0.13823284506731534,0.1607481051129769,0.15423259095806716
jazz,0.019394182533683458,0.019832442949581884,0.025612406369219777,0.020789007639327985,0.024085848917844332
visbrazil,0.3654663429024308,0.3682722789338966,0.3232068496397388,0.34999239395406984,0.35455314214949857
grid17,0.9304889211599756,0.9291913590761732,0.7360652637140479,0.930777387917422,0.9157375990940834
mesh3e1,0.7775420408942045,0.7817396380342613,0.6011750212232274,0.7573001107507646,0.7516805489339559
netscience,0.1924679369918429,0.19595575488956335,0.17882037741533036,0.20610320872147675,0.20543663679112223
dwt_419,0.14297723188508243,0.1435054541453576,0.10546622117512808,0.13897092525684052,0.1396246960742284
cluster,0.034735101222358365,0.03594412628001975,0.029605389370572888,0.03601622716610557,0.03359608278463107
qh882,0.4662327647666668,0.47110516266477653,0.25787036389988416,0.4577355193638687,0.4511248267056172
price_1000,0.5066371396115944,0.5024540592942983,0.39422745724002983,0.5059142670506743,0.49931367426137874
dwt_1005,0.3218325889853202,0.32311463439885724,0.2359964421599945,0.3171356536997334,0.31472131721146096
cage8,0.09069516708915966,0.09084611511406011,0.09653778001662543,0.09140969939703322,0.09630308685491958
btree9,0.7232635571738553,0.7197802895760252,0.4514142720778385,0.7160416876869105,0.7181278418723502
bcsstk09,0.08035602223584704,0.07924258798943118,0.06348096467627022,0.07541167265272641,0.05928175876756001
1138_bus,0.4757514779990692,0.47395703948189805,0.38786444728235786,0.4715363835389138,0.4707454254655935
qh1484,0.48168039388002565,0.4824459560929915,0.2464739531104637,0.4638476709118569,0.46214071285204084
clusterHiera,0.03389806798002719,0.033150192066623355,0.028272164666353072,0.03331792541868399,0.022141466598823722
bcspwr07,0.4972470085554839,0.5015206771650238,0.40291013725885333,0.498013487178398,0.499988141945335
fidapex6,0.002826739857594918,0.002746510559820825,0.023316509390696183,0.002828068014537388,0.00277028678412341
block_2000,0.09151265377503708,0.0948465231767998,0.08267146560090502,0.09398910181246412,0.09344026673916908
sierpinski3d,0.15266794246691906,0.1520680645887955,0.1313603918625294,0.15419238130157467,0.15624775700128762
lp_ship04l,0.07776200730765351,0.07672201739751834,0.11099969082175158,0.08123277890293838,0.07657538415384046
data,0.15772958129313203,0.15226176066702363,0.13282321585604615,0.15996458369384256,0.16335850692857617
3elt,0.589246863222195,0.5886316104247366,0.39072193083630163,0.5900095832196879,0.5877097296293081
USPowerGrid,0.4683087836238634,0.46889624348689696,0.38800614731869365,0.4696168938049067,0.4682622754385344
add32,0.3656628781201713,0.3676889185634454,0.30870206483844065,0.36781857604876267,0.36639053057768145
ca-GrQc,0.21772135815359786,0.2373640991643152,0.2120002835608849,0.21407144549263862,0.21417700390129973
commanche,0.7032847006272461,0.7019717297650103,0.584760976559139,0.7029264514447356,0.7020800656685042
EVA,0.46076320679704336,0.4620587638588722,0.3281067646883192,0.4591668738537976,0.45824732513245126
bcsstk33,4.660528634259364e-06,1.5827794130895967e-07,0.007671207842406403,0.0004845253809021566,1.3285859564216018e-05
whitaker3,0.7514609648509738,0.7503626864351501,0.3537035053465757,0.7809421222251405,0.7679475251903357
crack,0.8131662323156437,0.8139132017726809,0.55564838274772,0.8158795356846371,0.8145619049600704
fe_4elt2,0.553150045422625,0.5525232282788355,0.2673324781498972,0.5606909667367506,0.5605407117608177
fidapex11,0.0004937354589017451,0.0004679867366276902,0.005293741078903835,0.0019067727612814167,0.000572393833987217
bcsstk31,0.0007021265465072313,0.0006828662479207992,0.009855997227021662,0.000765950395246695,0.0007825461327522598
bcsstk32,0.00022299682488151616,0.000255675275031364,0.0051607948421351635,0.00026003067766935397,0.0002751257204598456
finan512,0.16193260321991404,0.1631356480054821,0.17606908163704155,0.15213702740537977,0.15208260908091967
luxembourg,0.5216990007446282,0.5216105840782008,0.48382991149494325,0.520263919483374,0.5206211284152127
fe_ocean,0.3230564159188073,0.3205971851153127,0.24351363842676416,0.3029577464563476,0.30019844257795986
