,Exact,BH,RVS,ibFFT-CPU,ibFFT-GPU
dwt_72,0.9681481481481482,0.9670370370370371,0.937037037037037,0.9740740740740742,0.9677777777777778
lesmis,0.5542523276601266,0.5595046248908178,0.5373394928648385,0.5411453464065039,0.5444665151971468
can_96,0.6865755772005775,0.6749875240500243,0.7129683395308398,0.6768927368927371,0.6878780363155368
rajat11,0.7708897134611418,0.7683955274590192,0.6966315869198321,0.7699385922719253,0.7503272781854339
jazz,0.5113617851519809,0.5079601219552335,0.4133943607889828,0.5055382097391159,0.5060806525847865
visbrazil,0.5604495845582316,0.5608246748791423,0.41201825196777425,0.5424115089072968,0.5452672388870099
grid17,0.9944636678200691,0.9944636678200691,0.6780754654803082,0.9944636678200691,0.9831141868512109
mesh3e1,1.0,1.0,0.8948239688032084,1.0,0.9890459713297084
netscience,0.7489626718608908,0.750361868948299,0.6545821998561537,0.7453930108186008,0.7521688066969118
dwt_419,0.5941231560801951,0.5999514752020704,0.5663515006839441,0.5964820163535577,0.5907604583632927
cluster,0.17488925700439298,0.17400000968915413,0.06934007647834622,0.17538354994520064,0.1744711661488339
qh882,0.5802491484847955,0.5835551142168942,0.4737962390360286,0.5797720918214025,0.5846548956820713
price_1000,0.6809520340687241,0.6818660659042325,0.46476083706156357,0.6814877492263818,0.6771169719839671
dwt_1005,0.5578538464106645,0.5609473392575484,0.5057720231226811,0.553235678740822,0.5492028166085412
cage8,0.3102343260767357,0.3100262907172702,0.19048637503217475,0.3113861303548419,0.3029567155257057
btree9,0.8781427174975562,0.8783186705767351,0.5860997067448682,0.8745063538611927,0.875347018572825
bcsstk09,0.4835690954288075,0.48417426439844685,0.4765936112469061,0.48231140178178455,0.4824560219524961
1138_bus,0.7176370987518691,0.7182410419082234,0.5300702796442426,0.717822839989507,0.7171472698814961
qh1484,0.5617072552951388,0.5608906128753176,0.4470955123599862,0.5494858606065189,0.5524660102418993
clusterHiera,0.22159531686110343,0.22177095929761198,0.1353052951465265,0.22300329953001077,0.21727608392825687
bcspwr07,0.6666347981030178,0.6675496865665644,0.49658332856802057,0.669037691131914,0.6702026822372428
fidapex6,0.7983734936034268,0.8006875273542221,0.7193777123613709,0.7979956174583378,0.79526187566457
block_2000,0.1644661849474965,0.1649392343615928,0.07711301806822765,0.16276493507445142,0.15605564021365662
sierpinski3d,0.6380371238517577,0.637861133987963,0.5557449055009982,0.6371290043290039,0.6368271143490652
lp_ship04l,0.04397536390624534,0.044294389138559404,0.018141277840066684,0.04351424862995733,0.045383963893751676
data,0.7290207790939917,0.7239884766901055,0.5099239074813239,0.7281275499996731,0.7305341508156483
3elt,0.7895879024459564,0.7906613026803737,0.589103148499341,0.7967911913886541,0.7948105402130883
USPowerGrid,0.6590572189357835,0.6603076660530045,0.4495301421553498,0.6601955041128328,0.6591271091922435
add32,0.6244382453982797,0.6246019598546972,0.4048991616261716,0.6239819297248227,0.622822861923858
ca-GrQc,0.5009881974579056,0.5043219328995991,0.36939316903598163,0.4996464925152718,0.4947377991804677
commanche,0.507729797979777,0.5102727272727061,0.4115808080807904,0.5152777777777565,0.5162323232323021
EVA,0.4040038013524028,0.40355088490557767,0.290475669326457,0.4021603200077628,0.403504577126926
bcsstk33,0.2814904737527345,0.28291359781985126,0.2204979623153799,0.27741557821537893,0.2907521803352319
whitaker3,0.9743512309685777,0.9741756397797214,0.5666432278605577,0.9779177356656946,0.976979737609329
crack,0.9592463536897149,0.9597651817583479,0.6466210108251426,0.957791343964197,0.9575568421378982
fe_4elt2,0.570656243518229,0.5688136441349878,0.39878526096815065,0.6116116709315027,0.6142744029217686
fidapex11,0.2771682657024207,0.27759982743755335,0.1933042130966669,0.27921700513445974,0.2740725138726677
bcsstk31,0.4253005610564795,0.4264728718569163,0.29553688454704863,0.4259463243500248,0.42560534070485784
bcsstk32,0.501202268939066,0.5012754884866331,0.34815697030944825,0.5021340012439988,0.5006923746945007
finan512,0.197727807327737,0.1999413053878167,0.08474402588812484,0.18478371031033602,0.18429595782822844
luxembourg,0.9093190292110904,0.9091871739925427,0.6695820229261096,0.8810287396894436,0.888437319808086
fe_ocean,0.19232088025427746,0.19294232840230469,0.1381394874770871,0.17661075784315167,0.17469505610076527
