,Exact,BH,RVS,ibFFT-CPU,ibFFT-GPU
dwt_72,0.06491580421541945,0.06639930466075003,0.07325712722024799,0.059262262744668094,0.0593128310309516
lesmis,0.1316814935394354,0.1323980538916238,0.13615933278496056,0.13167613842250486,0.13011544610903505
can_96,0.08305405775705973,0.08370883729722764,0.09774550861782498,0.08352215290069581,0.0823918064435323
rajat11,0.10232369898834019,0.10234897976680386,0.12542018711419753,0.10165248842592592,0.10043266407321674
jazz,0.15212973275606442,0.15193832610750815,0.30383750900737166,0.1522156764336866,0.15138435282034363
visbrazil,0.082361108337011,0.0827050145188474,0.10659324931455949,0.0828232030726884,0.0829994921811592
grid17,0.016175763781526502,0.01617025051381165,0.03281510390163851,0.016480630152147364,0.016526469694934508
mesh3e1,0.005364288981565078,0.005215652763063518,0.0132965831455375,0.0060853993915078244,0.005981472497373416
netscience,0.09133622815517509,0.09012121038735457,0.11531084466874013,0.09267307743349741,0.09174997530736348
dwt_419,0.021667748095747348,0.021330318359341623,0.042448628299066996,0.022012492274764896,0.022349863326528958
cluster,0.1988920751953125,0.19938231689453126,0.21754296386718747,0.1988915869140625,0.19791165527343751
qh882,0.06812640216942786,0.06818660948884467,0.09447121240313963,0.0664029278567058,0.0658512351463639
price_1000,0.1325365234375,0.132784690625,0.14263109687500003,0.1287942890625,0.12518869375000002
dwt_1005,0.027750601006163216,0.02785182568191381,0.03985029609415609,0.02781063432835821,0.02793779431511596
cage8,0.14283799655415078,0.14236906379674347,0.1736985549273217,0.14276161760780412,0.14254677679633088
btree9,0.1524781503904813,0.15200870568326344,0.1741290434856559,0.15310042172744376,0.15118917810686566
bcsstk09,0.018562004668600356,0.018454112692036503,0.020920955182566297,0.01858268211015706,0.018852564586248143
1138_bus,0.0848014551050003,0.0859637937494788,0.10478630697103727,0.08475879608144588,0.08467696488497689
qh1484,0.05731768638614221,0.057386977547115324,0.08790841073880604,0.056980337010093286,0.0558507446454908
clusterHiera,0.163956982421875,0.1635665771484375,0.17844067626953122,0.163438056640625,0.16278366699218752
bcspwr07,0.06460862914963149,0.06413175031863998,0.08648685331093106,0.0634094503979921,0.06370498729288401
fidapex6,0.020959305001080418,0.020545478822096695,0.02971787237953174,0.021133963810087385,0.021720027491460313
block_2000,0.162026890625,0.161951365625,0.17403571874999998,0.16224172812499998,0.1622678375
sierpinski3d,0.08177344735276623,0.08221725907198096,0.09813757733491969,0.0823129729327781,0.08213371505056516
lp_ship04l,0.15820427966755593,0.15873224682813122,0.18939062541297602,0.15886792143161033,0.15813403378324803
data,0.018688208959153445,0.01873003325090017,0.048618439676873154,0.0196428021095935,0.01959172338688475
3elt,0.0489137123850905,0.04880163970482619,0.07868782206083022,0.04937679433891124,0.04946638448003447
USPowerGrid,0.08215522911296426,0.08172859904738697,0.08607554162390853,0.08054998588689585,0.08046636712724416
add32,0.10818689231594691,0.10836259430280956,0.14111487057752342,0.10832907209287201,0.10722761730944327
ca-GrQc,0.10201219758063047,0.10191676682959123,0.11462459246414769,0.10110592569538931,0.10161263521630899
commanche,0.051018247500255076,0.05060513994107744,0.09585442493112947,0.05166949641618203,0.05120127171334558
EVA,0.04769471835825337,0.049241008972851684,0.06348172659821412,0.048926219333564544,0.04730406133413826
bcsstk33,0.06618553379762461,0.06677619572676488,0.10584183698995413,0.0666020327992833,0.07090217727103204
whitaker3,0.012197389499167013,0.01235204758433986,0.06173546647230321,0.008795800577884216,0.009342692497917535
crack,0.006775038957595824,0.006767376780509949,0.022699126243591307,0.006131580233573913,0.006093799233436585
fe_4elt2,0.053498657274156244,0.05315225935147747,0.08626479605613913,0.05430961225282364,0.054304215464839455
fidapex11,0.035903573022785226,0.03619537123369798,0.12793510048633422,0.038638076096557575,0.037747640796995066
bcsstk31,0.049784784725005714,0.04961977113020597,0.10539393267680364,0.049689265903166316,0.04963968421573021
bcsstk32,0.11829188218738111,0.11766850753986564,0.20817522342471745,0.11897311106335066,0.11932857663880456
finan512,0.046333794764451076,0.04570943566583887,0.0525219587329244,0.05356662009738006,0.053574839907273894
luxembourg,0.06263915963933467,0.06271203768050848,0.08233248093718602,0.06320167835224849,0.06304323435636545
fe_ocean,0.06826394276002493,0.06794107404309935,0.06027330494704251,0.0679535201145541,0.06799619482947364
