graphname,1,2,3,4,5,t-FDP
dwt_72,0.851,0.806,0.788,0.788,0.778,0.905
lesmis,0.656,0.687,0.517,0.473,0.500,0.680
can_96,0.595,0.558,0.579,0.535,0.581,0.641
rajat11,0.681,0.686,0.641,0.611,0.588,0.678
jazz,0.772,0.750,0.652,0.626,0.629,0.814
visbrazil,0.517,0.477,0.352,0.310,0.308,0.518
grid17,0.711,0.686,0.677,0.668,0.658,0.809
mesh3e1,0.809,0.763,0.742,0.726,0.726,0.927
netscience,0.690,0.653,0.545,0.488,0.455,0.689
dwt_419,0.694,0.686,0.659,0.641,0.650,0.727
Cluster800_2,0.372,0.282,0.255,0.255,0.255,0.379
qh882,0.579,0.539,0.477,0.449,0.442,0.622
price_1000,0.601,0.501,0.326,0.229,0.182,0.563
dwt_1005,0.512,0.490,0.471,0.449,0.455,0.616
cage8,0.375,0.294,0.237,0.202,0.187,0.327
btree9,0.588,0.521,0.458,0.416,0.399,0.802
bcsstk09,0.788,0.754,0.723,0.701,0.705,0.856
1138_bus,0.536,0.498,0.440,0.406,0.385,0.590
qh1484,0.543,0.505,0.443,0.409,0.402,0.608
ClusterHiera1600_2,0.499,0.425,0.331,0.204,0.189,0.489
bcspwr07,0.507,0.472,0.426,0.393,0.377,0.578
fidapex6,0.738,0.704,0.666,0.644,0.630,0.850
block_2000,0.309,0.280,0.267,0.245,0.214,0.330
sierpinski3d,0.525,0.508,0.486,0.486,0.484,0.599
lp_ship04l,0.457,0.551,0.254,0.034,0.031,0.382
data,0.650,0.593,0.563,0.547,0.541,0.794
3elt,0.593,0.606,0.564,0.564,0.555,0.723
USPowerGrid,0.461,0.428,0.371,0.335,0.304,0.522
add32,0.537,0.479,0.377,0.292,0.242,0.493
ca-GrQc,0.446,0.400,0.324,0.267,0.231,0.385
commanche_dual,0.341,0.338,0.327,0.314,0.313,0.455
EVA,0.859,0.755,0.660,0.625,0.589,0.748
bcsstk33,0.361,0.309,0.283,0.271,0.271,0.420
whitaker3,0.707,0.696,0.689,0.674,0.677,0.881
crack,0.774,0.727,0.689,0.665,0.652,0.880
fe_4elt2,0.598,0.552,0.512,0.488,0.482,0.568
fidapex11,0.346,0.334,0.322,0.318,0.311,0.439
