,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,1.0,0.9961366629535687,1.0,0.9665425197440897,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lesmis,0.8186026300288155,0.787335778783864,0.8302443826723371,0.8497769270460038,0.8484198460449803,0.7865890411410319,0.7802252748276608,0.8266660020981667,0.8060527812770267,0.8285452849909227,0.8439994938136355
can_96,0.9219788108547429,0.9200746015784265,0.9250855851881911,0.9280653908629921,0.933556060916837,0.8528277920788969,0.8653552452606948,0.9615697160719783,0.9615697160719783,0.9235005644527433,0.9390919208844123
rajat11,0.9306727533973268,0.9151716609526701,0.9366922680119304,0.9327540109664965,0.9330721653471017,0.9019055524185644,0.8609016712758777,0.928728896844186,0.9378154943308206,0.9283240532238489,0.9357734399536076
jazz,0.7685722102014811,0.7358499692733822,0.7654911391182553,0.7780641385529237,0.7733336488938444,0.7431783977782085,0.7272754311312984,0.7519308362676126,0.7766069839066099,0.7582549277210402,0.7776856566766316
visbrazil,0.9209513517751093,0.902472780660627,0.9224192410585988,0.9370089612484511,0.9325443133039645,0.8591044804307986,0.8731867098647619,0.8986561854549135,0.9251481857878943,0.9315524589867294,0.9304116988016498
grid17,1.0,1.0,1.0,0.959539594515119,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh3e1,1.0,0.9898590657513772,1.0,0.9961465160174543,1.0,1.0,1.0,1.0,1.0,1.0,1.0
netscience,0.9420952802074061,0.9439308762854886,0.9517102617734853,0.9577522151259993,0.9585590629481361,0.9208727177207339,0.9063986789103025,0.9338995641599077,0.9373751722991461,0.9543827572749182,0.9571460065618626
dwt_419,0.9568664017589118,0.9542616489360588,0.9574495899785964,0.9406421521773887,0.9570180858437547,0.9525808755775602,0.9495762373823723,0.9565188973815314,0.9576574741420723,0.9534665960139777,0.9588197450806548
cluster,0.7624404689484118,0.699267636145619,0.7618719904403982,0.789557773727231,0.7800545417747587,0.7185595162828294,0.5947736112315944,0.7411925833608003,0.7868340532279485,0.7751563122891695,0.7863756212373251
qh882,0.9664753700426101,0.9685515786846537,0.9719745175865298,0.9596917097465518,0.9738265194309055,0.9518199133320288,0.9558283915433616,0.9637247909304112,0.9729668364765691,0.9689355241356002,0.9740282448478663
price_1000,0.9799740625115005,0.970510681622702,0.9849889912710154,0.9862925496557123,0.9948494601014213,0.8796047836116914,0.9346273458830814,0.9416360917108196,0.9963599543712223,0.9922538359488675,0.9900590170599569
dwt_1005,0.9684123683219837,0.9585540402615382,0.9686608941754387,0.9568051710030356,0.9676931613726325,0.9593925214020566,0.9603458907212689,0.966222291938476,0.9696675641489229,0.9667314963979081,0.969337687993255
cage8,0.8830230729618904,0.8436015829467296,0.882433200075466,0.9012184203543345,0.8957617349561519,0.8617661732787646,0.8306254217728057,0.8784231056525644,0.9049983129015814,0.9028006145840557,0.9055849161400733
btree9,0.9758639385217904,0.9721545406225809,0.985725274726901,0.9864372606065972,0.993003108753102,0.933673434258768,0.9662275921636491,0.9624367763516315,0.9927750686925766,0.9903834041513908,0.9885578288529497
bcsstk09,0.9581726455139188,0.9570109587065302,0.9582491393480241,0.9336642426124317,0.9577434264560525,0.9424616043183734,0.9558468746170936,0.9576055153828597,0.95827309701836,0.9567562257779952,0.9586002484613626
1138_bus,0.97436966110337,0.976252690438864,0.976146623105613,0.9704193538585917,0.9841206950557311,0.9566445920417225,0.95825300311111,0.9667033431235122,0.9828406220126233,0.9833944430761277,0.9835310613108398
qh1484,0.9720417211381591,0.9784957273350827,0.981014933451803,0.9685786454907832,0.9843645510950279,0.9592208184761291,0.9656846218639694,0.9755167530869929,0.980932363891631,0.9798190161390223,0.9829404032800537
clusterHiera,0.8644966295426952,0.8570875767134328,0.8638447917215434,0.894801018585573,0.8831054611730143,0.7997903703037499,0.7673510785853415,0.8210569615678128,0.8940316329724238,0.8823854933180513,0.8920028428200213
bcspwr07,0.9772628521819794,0.98125862913931,0.9823090316805796,0.9773410717506351,0.9859179919135286,0.9603913364686374,0.962498185186505,0.9733105984013569,0.9847736855647196,0.985270679869533,0.9850746122813161
fidapex6,0.9437092609611334,0.9475518825265201,0.9566662782456529,0.9453457405761021,0.9570443731283671,0.9300256244912768,0.9459156098984971,0.9558519352107323,0.937217086901714,0.9551344615199995,0.9568517033325079
block_2000,0.8871162534614131,0.8751512674460757,0.886892975545827,0.9073008661109258,0.8962632356850901,0.8419057700318018,0.805054920167127,0.8621983525713294,0.9073469379670083,0.892750409430071,0.9048658782661809
sierpinski3d,0.9819725841859661,0.9827690021500649,0.9836103049463155,0.9768141843733968,0.985060573656592,0.9711860190961283,0.9773320671677055,0.9837077475165781,0.9844153507604678,0.9847293602056494,0.985086937978572
lp_ship04l,0.8525749721095994,0.68445478446012,0.8514127099113997,0.8866239384285264,0.8400031021472758,0.7946806820856225,0.7611283049685683,0.8096213789969143,0.8801499920216594,0.87640435834749,0.8743317114571066
data,0.9818012011120729,0.9821615468561143,0.9831694174317869,0.9598978927010942,0.983252515954988,0.972682538477747,0.9807500283888766,0.9828999285644798,0.9833416279069473,0.9819990615087285,0.983226001250112
3elt,0.9899990629308594,0.9912347871108687,0.9929489794238362,0.9710747869477949,0.9929779043458028,0.9852582804829086,0.9845337224584151,0.9892141012468796,0.9932055024387401,0.9921000762653718,0.9923073143792444
USPowerGrid,0.9822664768416527,0.986671314219765,0.988124232014048,0.9798492581523485,0.9901996061214277,0.9661637664157302,0.9673426780618971,0.9759651814660458,0.9893875637482772,0.989456826951437,0.9884211377534673
add32,0.9792067092710294,0.9790294197035708,0.9882132662983638,0.9839801948268946,0.9909885685770272,0.9422052292149454,0.9416405058351266,0.959303741858408,0.9879709821191183,0.9877830618941914,0.9870071169269676
ca-GrQc,0.9062625346828019,0.8734557143393678,0.9263548003270701,0.9337032249940643,0.9355848691184911,0.8419929737701966,0.8510783585809533,0.9043972531350107,0.9159271964511435,0.9377237573818208,0.9269589373514592
commanche,0.9892061351533028,0.991108454772702,0.9915933580683862,0.9743902266392744,0.9922125902430323,0.9866921172457456,0.9871238678986991,0.9905561341141029,0.9919648475680285,0.9919317767241911,0.9927414311931434
EVA,0.9829611970207832,0.9476780373686113,0.9883467236398207,0.9876259707266868,0.9897241040201246,0.7830934596389565,0.6872425930914084,0.9664301248071349,0.9729529166020804,0.9933057245675734,0.987306387261721
bcsstk33,0.9457332240020839,0.9470535315660191,0.9495375813430422,0.941341613611663,0.949813633163177,0.9400755921713702,0.9426810606148806,0.9473815426503858,0.9468432778421765,0.9497815330851799,0.9524874716995683
whitaker3,0.9989787059507236,1.0,0.9950691816528897,0.9705219268653297,0.9994316258634303,0.9996952338864127,0.9998711737978401,1.0,1.0,0.9997303558058468,1.0
crack,0.9970680825700093,0.9998079207416545,0.9991935561808646,0.9735423881557003,0.9989877436562107,0.9971385310365148,0.9981092850751185,0.9989505896421033,0.9998527641762995,0.9993976058053169,1.0
fe_4elt2,0.9909267666270989,0.9932144895182871,0.993780910529335,0.970543423702428,0.9938793159208259,0.9884890063460473,0.9893986396391403,0.9919351391888096,0.9936386563133617,0.9953802352686048,0.9928862346982698
fidapex11,0.9654222416965169,0.9670064395064406,0.9668122708422248,0.9650403183369342,0.9679712424918548,0.9548474981066116,0.9637215306443215,0.9664206307788339,0.9627614358523744,0.9645405177360082,0.967950194132252
bcsstk31,0.9787241535361744,0.982880817923,0.982201492568017,0.9639699778289614,0.9832024123093795,0.9686543953378177,0.9767000285858304,0.9804935665981981,,0.9831657666131333,0.9840941234242176
bcsstk32,0.9750362743249557,0.9810133156140,0.9829766301743497,0.9649023979668545,0.9828605243690609,0.9652545453259241,0.9721255424368991,0.9771777694107724,,0.9846405933652527,0.9829591085548474
finan512,,0.98843548974147,0.9886948909209992,0.972395941476336,0.988593646593455,0.9815491870360876,0.9837588062831397,,,0.9880744754315982,0.989186496437209
luxembourg,,0.99890348946164,0.9987219424941752,0.9784136020988188,0.9988548957812439,0.9966599688794467,0.9983007440318639,,,0.9962351470806837,0.9988907774462799
fe_ocean,,0.993754484347,0.9940683181476258,0.9657080773805605,0.9944290088077995,0.9919205012395865,0.9908058619078666,,,0.993653509653916,0.9934233886490752
