,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.5326773994693735,0.5359088164832023,0.5266561465721824,0.5084692525157158,0.5379419130202173,0.5084068431112185,0.5258875563372605,0.5373142523612867,0.5362819619116971,0.5323497805680125,0.5447476229422238
lesmis,0.24802086568615134,0.15160972835060232,0.19619933009539692,0.2204926078231173,0.22961390565751721,0.33442119664160186,0.191984938744982,0.1975134154472763,0.40425353133179004,0.1891803341066003,0.12795607585011706
can_96,0.17913125248309053,0.3452580310941588,0.18287557333251003,0.09724330381558935,0.24526369232213002,0.1143357577454871,0.36802874244579,0.33259883488499487,0.41389503243422193,0.16051073183079378,0.34174881656474126
rajat11,0.15397756468114865,0.16324826676186924,0.14810777059464553,0.23267351353587334,0.1934722266501281,0.02172734137706913,0.18810199947257575,0.1856370688666492,0.1474827246870342,0.11618988696083592,0.15423259095806716
jazz,0.031612758476394484,0.03501189130033353,0.031837066367932154,0.042759466737371056,0.061715310799613586,0.020934700132101726,0.04934116618984037,0.041387844082249936,0.03827403006222081,0.03626805663604389,0.024085848917844332
visbrazil,0.22939693751922202,0.2466779483808494,0.2820009127549733,0.36181024198338774,0.32251367647556023,0.09080783303258777,0.15413763276498835,0.2425354623400109,0.27161634087523556,0.28140080704778886,0.35455314214949857
grid17,0.8922510296434666,0.8127755182160271,0.9017389213724911,0.5710445003491531,0.875993493210791,0.6962872721666848,0.9208713983212695,0.9306396162035886,0.8765381250196096,0.732208977816858,0.9157375990940834
mesh3e1,0.7548602075704414,0.5805413962258801,0.6311644787189956,0.36808307392051864,0.5967304175156026,0.4840990439552172,0.9171062345867798,0.908663937179383,0.7320089608569686,0.5080118152368941,0.7516805489339559
netscience,0.253367045759645,0.21706627558620495,0.2552488914501434,0.23889257410179326,0.26005853797550643,0.23926559922051022,0.2696164436804683,0.24257386703698858,0.3376769882338785,0.18602847525574745,0.20543663679112223
dwt_419,0.14779958221769127,0.12445007297802776,0.13731415563526772,0.04254198553063375,0.1216105193193903,0.04647025392961453,0.26514656657170826,0.20917024312691393,0.13200438158780792,0.08518530090131533,0.1396246960742284
cluster,0.03381318484603002,0.029032744166453052,0.03303468898316597,0.03455139718564726,0.0390970758696918,0.030734490547343406,0.026554553000704084,0.03307743484907233,0.03647475830958109,0.03230251705257969,0.034302975503055076
qh882,0.34052655055894665,0.34713577077251145,0.34522624242056066,0.35238834543777314,0.41848150404141204,0.3187532094881795,0.33640049744501954,0.44713525056897707,0.3963585064313338,0.21717609636483526,0.4511248267056172
price_1000,0.2880515716754156,0.3329874309981924,0.3453905517476811,0.46167025524525257,0.42097269354238653,0.2450715447601146,0.3203096672172337,0.3565346520681093,0.2582636277673348,0.31138167191238925,0.49931367426137874
dwt_1005,0.21715145008949363,0.2909797330319554,0.16663963942355653,0.07326147911833929,0.13982649783278214,0.12174635573107681,0.41826572132624407,0.3384323010598703,0.28311993716114453,0.13881897604066146,0.31472131721146096
