,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.990741,0.966204,0.962037,0.599669,0.931296,0.853704,0.934259,0.981481,0.981481,0.816667,0.967778
lesmis,0.428135,0.311733,0.399278,0.524992,0.513065,0.260707,0.166605,0.311695,0.567243,0.569513,0.544467
can_96,0.360150,0.594279,0.318783,0.257848,0.495779,0.224644,0.236926,0.504293,0.714844,0.510400,0.687878
rajat11,0.530623,0.499645,0.564036,0.688412,0.692558,0.405146,0.146441,0.418379,0.670847,0.609808,0.750327
jazz,0.418520,0.328450,0.411006,0.456759,0.401355,0.319045,0.225558,0.356105,0.539317,0.403035,0.506081
visbrazil,0.139063,0.142333,0.142186,0.479588,0.397139,0.028413,0.036255,0.070115,0.310070,0.337154,0.545267
grid17,0.997785,0.957924,0.984775,0.341964,0.762930,0.716536,1.000000,1.000000,0.961246,0.649109,0.983114
mesh3e1,0.964993,0.893824,0.889471,0.565862,0.843862,0.809843,1.000000,0.996540,0.935344,0.773086,0.989046
netscience,0.449685,0.448700,0.473695,0.642343,0.588451,0.306826,0.080571,0.255704,0.622616,0.573636,0.752169
dwt_419,0.535184,0.488580,0.533532,0.366640,0.513719,0.486174,0.439085,0.562579,0.526459,0.495052,0.590760
cluster,0.065055,0.039947,0.067667,0.170514,0.106963,0.052861,0.001155,0.041179,0.199476,0.118098,0.174854
qh882,0.342659,0.357389,0.359400,0.482537,0.496938,0.128236,0.065097,0.245254,0.442592,0.431883,0.584655
price_1000,0.084780,0.127744,0.155182,0.558581,0.456641,0.003312,0.007167,0.016597,0.311871,0.399297,0.677117
dwt_1005,0.356335,0.433394,0.302596,0.285643,0.300905,0.296043,0.344520,0.435390,0.546074,0.367605,0.549203
cage8,0.119461,0.090831,0.109560,0.299267,0.183881,0.089728,0.008406,0.087085,0.321041,0.234341,0.302957
btree9,0.091535,0.097126,0.426588,0.709254,0.312414,0.005318,0.002092,0.020821,0.204216,0.448459,0.875347
bcsstk09,0.442685,0.470508,0.425322,0.234173,0.383090,0.416692,0.477775,0.448055,0.452947,0.428100,0.482456
1138_bus,0.201188,0.284275,0.361793,0.578975,0.558490,0.108407,0.029458,0.097542,0.449740,0.501759,0.717147
qh1484,0.295551,0.292508,0.336606,0.429283,0.439440,0.097809,0.059617,0.249588,0.368794,0.400589,0.552466
clusterHiera,0.090912,0.080462,0.089371,0.210222,0.133444,0.040139,0.001958,0.042108,0.213160,0.142485,0.217276
bcspwr07,0.185193,0.272220,0.314313,0.503054,0.489233,0.080832,0.035293,0.110695,0.386700,0.443754,0.670203
fidapex6,0.721425,0.512491,0.631716,0.399827,0.528557,0.322581,0.433139,0.718933,0.667264,0.585584,0.795262
block_2000,0.028866,0.030927,0.029555,0.166820,0.052851,0.022230,0.000004,0.016901,0.107987,0.063440,0.156056
sierpinski3d,0.488036,0.461439,0.508651,0.505238,0.531622,0.210821,0.307228,0.528132,0.550396,0.542329,0.636827
lp_ship04l,0.008384,0.005063,0.007597,0.044054,0.051083,0.006135,0.000010,0.002748,0.045663,0.041499,0.045384
data,0.594042,0.327931,0.507984,0.268687,0.450600,0.407172,0.577506,0.664700,0.592548,0.514900,0.730534
3elt,0.564041,0.450284,0.662066,0.202085,0.538129,0.306999,0.411559,0.512202,0.609792,0.572632,0.794811
USPowerGrid,0.112656,0.230207,0.259543,0.505020,0.485361,0.062069,0.010570,0.040865,0.337288,0.412880,0.659127
add32,0.139345,0.196931,0.240467,0.528813,0.465007,0.087653,0.003067,0.021004,0.297258,0.361338,0.622823
ca-GrQc,0.278570,0.225399,0.129423,0.616098,0.440179,0.106185,0.009428,0.046384,0.452932,0.420951,0.494738
commanche,0.147053,0.111308,0.184129,0.282927,0.237025,0.093515,0.029947,0.177083,0.225652,0.266520,0.516232
EVA,0.228019,0.192810,0.024977,0.337255,0.307335,0.001289,0.001044,0.062733,0.118620,0.288518,0.403505
bcsstk33,0.164920,0.217406,0.168920,0.219455,0.175044,0.160653,0.132588,0.154672,0.258622,0.235709,0.290752
whitaker3,0.833199,0.490677,0.713618,0.153516,0.737291,0.462246,0.999404,0.999616,0.642074,0.721410,0.976980
crack,0.747283,0.737361,0.865493,0.184204,0.779575,0.525507,0.908037,0.861202,0.781994,0.727404,0.957557
fe_4elt2,0.330709,0.227455,0.392989,0.170603,0.397130,0.164937,0.251335,0.398071,0.434169,0.585996,0.614274
fidapex11,0.193405,0.171190,0.184472,0.203325,0.194766,0.159922,0.175516,0.204629,0.204878,0.198974,0.274073
bcsstk31,0.259652,0.230769,0.276900,0.239810,0.262676,0.164683,0.154324,0.216460,,0.278125,0.425605
bcsstk32,0.240076,0.202009,0.312012,0.255507,0.276707,0.175707,0.153869,0.240989,,0.367488,0.500692
finan512,,0.049586,0.064292,0.125411,0.088866,0.113594,0.004389,,,0.083572,0.184296
luxembourg,,0.471813,0.584477,0.229144,0.620493,0.337461,0.466225,,,0.404492,0.888437
fe_ocean,,0.110802,0.152530,0.105659,0.169044,0.057325,0.001280,,,0.127173,0.174695
com-DBLP,,0.009374,0.080697,,,0.113204,0.000057,,,0.068196,0.079650
com-Amazon,,0.024465,0.031654,,,0.040678,0.000308,,,0.124486,0.164095
roadNet-PA,,0.241968,0.329799,,,0.069441,0.096326,,,0.332405,0.560747
com-Youtube,,0.000119,0.000255,,,0.003390,0.000003,,,0.007109,0.005189
