,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.8829916225749562,0.9058597883597885,0.876421957671958,0.62605685980686,0.8449029982363317,0.6807229036395706,0.8986772486772487,0.927832892416226,0.8823192239858908,0.8508427529260864,0.9050771604938275
lesmis,0.7226035236961111,0.6263493782333569,0.7158053203079809,0.6266594758958922,0.6290703606188087,0.7472067299992098,0.5721932208913975,0.687713308341663,0.6973193742604197,0.6557884839452368,0.6795104809358256
can_96,0.5363306761618547,0.6091778337044182,0.5278832278832281,0.524351403758013,0.567875299832229,0.47373857719547374,0.41114555548623405,0.5526521924223081,0.6572217834595334,0.5947089873872989,0.6406636128980449
rajat11,0.6402498114243993,0.6291063373099196,0.6773923336413922,0.5631633545166437,0.6256916114424361,0.6148667606948213,0.3746637063670559,0.6233153099001778,0.7240101466735835,0.6814795722927746,0.6775971988869235
jazz,0.8405996680512805,0.7754233234556759,0.8402900755889288,0.7764784574847688,0.7729665617445418,0.8311813702405931,0.766313975186176,0.8293965628365972,0.7738107304030748,0.7719548228813936,0.8141714210067708
visbrazil,0.4636523625303456,0.4068849114698704,0.4673717915856009,0.4946275529524978,0.5057721341973727,0.3689276656749634,0.32276042752505996,0.386588344752886,0.5457407168929299,0.5170572962384049,0.5181295116351159
grid17,0.7796919036365397,0.7955019183046851,0.7695810149097344,0.3932656857356625,0.7332974829860633,0.6866661007084369,1.0,1.0,0.7690372679992057,0.7105405427510031,0.8094794094794091
mesh3e1,0.9174518263151008,0.7760855858795489,0.834125785441843,0.6293957064490472,0.8283048422081022,0.6328277161395237,1.0,1.0,0.9017635372579831,0.8085758587792855,0.9274882993531698
netscience,0.6016357956710514,0.5533274167835731,0.6049380522454381,0.6222457019509048,0.6448959492109649,0.43807671848155794,0.30927598016242563,0.5013055888773412,0.7294524205689117,0.6896897312352239,0.6886831149209653
dwt_419,0.7225394758430514,0.6318900208102745,0.7200642345917654,0.4738183881013579,0.6928199509438591,0.6945093965279532,0.6258282934808875,0.7589488575683673,0.7354994497956839,0.6943959899681387,0.7270437597752473
cluster,0.378426984850457,0.3305602410222238,0.3773594750862447,0.36828542296847333,0.3783773658205606,0.3456404519841468,0.28805512768020114,0.3783351813227249,0.37190238339767456,0.37232463997767723,0.3790103043732625
qh882,0.5046544390275141,0.4890223531494787,0.5162288601435198,0.42229765182857204,0.5597301073327994,0.2591702070223142,0.287694330599969,0.4126003870999183,0.6063179326070931,0.5789270923127336,0.6218801458512443
price_1000,0.45210458902705886,0.41637494671771147,0.48177958867459997,0.5561671568289306,0.5958914238717903,0.34478260606870725,0.20460371957250686,0.2057021535629866,0.6235428088739584,0.6012204523482633,0.562782389624213
dwt_1005,0.5164684023518846,0.5587746304481298,0.4984614690612158,0.40590741642127287,0.4828193929226021,0.46470989751375785,0.505951088109979,0.5616695328011212,0.6420520511362999,0.5119795122167263,0.6160643615641217
cage8,0.2251841525256518,0.19590782484327057,0.22283247986752083,0.31776933127854834,0.26248852851287147,0.1754579957884168,0.1172673988317732,0.19882719165719756,0.4247761937389267,0.37460450977766324,0.3274108083996552
btree9,0.2748953087559226,0.25410030369836917,0.5004050422197718,0.7425568708982536,0.5600087950881452,0.11480738369215318,0.10925361692914012,0.08507018700222196,0.34549450223936146,0.5882612203122799,0.8022593254023306
bcsstk09,0.8419913314566824,0.8659846153888132,0.8261245718483424,0.4750381879558285,0.7670807269369633,0.6829867495459782,0.8908124955831973,0.9675915742055666,0.8814221772558983,0.7879514977385961,0.855758977199075
1138_bus,0.3599807897507152,0.3864102174616937,0.42720803048501593,0.46376987586761,0.5154866737746251,0.2320867390911195,0.2001690384762777,0.26057174862062027,0.5662525943004502,0.5359321950264793,0.5895538297535449
qh1484,0.44092278417655884,0.4131402522386328,0.46061251321407726,0.4022841622472785,0.5288585655793174,0.25519290212441864,0.27559750264650373,0.40544833500271193,0.5591477482097519,0.543485890661762,0.6080168410604762
clusterHiera,0.460020345321875,0.3895348039358383,0.46028592927782286,0.49142086838092214,0.4957572993872189,0.32001389657641155,0.26070448238043215,0.33661477688202807,0.49724459347806677,0.49930542635585046,0.48883187567324715
bcspwr07,0.3431634746133114,0.39670369956924634,0.43105426035219396,0.41894095823308675,0.4899753815144104,0.22887777296691167,0.20183094978809152,0.2729165798151192,0.5252737137095267,0.5073861998872605,0.5775740292910869
fidapex6,0.7945076938558822,0.6087283252189504,0.7294524600363973,0.5342912254957762,0.6420603129994304,0.331904854835534,0.7024227713486143,0.8584039661660249,0.7245096500063738,0.7382511725800035,0.8495197818745744
block_2000,0.27761750534331014,0.2310523997335682,0.27601540837414523,0.33217909003054846,0.2955641026343082,0.14111760511391372,0.12010918178323345,0.1596693213239595,0.3601983968681216,0.3086349358369995,0.32986415092279364
sierpinski3d,0.4827904397456438,0.47465254358854114,0.5103733290628222,0.411262837465636,0.49516512932070933,0.30834825478609396,0.4275446046533366,0.5393906417122669,0.5577899943272318,0.524591753290189,0.5986178998125191
lp_ship04l,0.20821932101801094,0.1508219550345557,0.20383467480066844,0.4950479880830353,0.12502541958617694,0.19044083365153663,0.16797187586030857,0.2055486179332558,0.5246506474227312,0.4574422166750301,0.38182559192718263
data,0.6912477038431355,0.4221778498530987,0.6459892057039264,0.3273274521645825,0.583971476375627,0.48635176355209975,0.6901159826946632,0.7477391730817987,0.6917405492751828,0.6496079876720762,0.7942746207794064
3elt,0.5541305755972357,0.4644281551780198,0.626780850887094,0.22585230171632587,0.5344145899027076,0.35064576575943995,0.4686309626132418,0.5120901002700982,0.6134289164076744,0.5926950760229255,0.7227084247087159
USPowerGrid,0.2412095537613998,0.34397194172386203,0.37842649027277775,0.38484801533309043,0.4707432961911556,0.17620817058626997,0.1218870716458472,0.14496733391417746,0.4416635489626712,0.46109770943557293,0.5215959017399816
add32,0.30064859229795077,0.3685401715686093,0.42985178572228644,0.46237569068108575,0.5201102272665099,0.229305476412326,0.09442912230319885,0.13335603200286383,0.5391008056142811,0.5366150991648573,0.4933339448299128
ca-GrQc,0.2969139072677556,0.26162874213330534,0.13097062458284203,0.4536715364655228,0.39635510035457827,0.057822453227037794,-0.0020121233258746066,0.07976562738022927,0.4803847273183063,0.4463544187787896,0.3846167885252868
commanche,0.2610890888918997,0.2138689074838831,0.3114337083165011,0.19527685811497847,0.3187723248148767,0.18051064028893712,0.22287924213091323,0.30328990006741274,0.3074354418729357,0.3405524300747014,0.4547289211539268
EVA,0.7893326075484541,0.6755912242465454,0.48886944021259193,0.8307039223764102,0.8424370096456949,0.416192961744241,0.12105975499128177,0.445577221376847,0.66069208956069,0.8585903695583248,0.7479377843750141
bcsstk33,0.2912676852651765,0.35408778437580196,0.30504730434986105,0.303526737091108,0.304317039327582,0.22608725427306214,0.29272369228866185,0.3055124007730951,0.3857477506719863,0.36068834234393776,0.4203141268152241
whitaker3,0.7681129431105386,0.4630862187078333,0.6949175443904355,0.15657274503788227,0.6575801706265454,0.5357658930377844,0.9984573802160017,0.994689149893609,0.6324575551303162,0.7066506720497414,0.8810530037702231
crack,0.7535632039347184,0.7038794100275927,0.815599583829919,0.18012179260034697,0.7388322764779621,0.6266204822675616,0.8808782298821329,0.8264076401082855,0.7443201804139401,0.7742720246960044,0.8797499393134564
fe_4elt2,0.3754464486951176,0.28082641598261987,0.42245595575779804,0.16031528490038935,0.42300917542879474,0.24800410140380347,0.32903661750181534,0.4303918152693432,0.46080409395438277,0.5980957536160807,0.5680913780498857
fidapex11,0.3448699806019559,0.2293110405954276,0.34229959846724306,0.2913805191644306,0.3268732299296583,0.23310889931560297,0.35012168756613443,0.3668776026203111,0.331092746616512,0.3455583083861308,0.438753053801151
bcsstk31,0.3483922987497916,0.295746235154532,0.3667307980999898,0.22143461769221248,0.3228426341949588,0.2199842152773861,0.2709386528703416,0.3254290649811071,,0.3708735410675926,0.44141660729254584
bcsstk32,0.2856295020129771,0.2278435548913149,0.36328375070330643,0.2145202814845347,0.3124596438798621,0.18183172737131695,0.1884766183465988,0.29450049120146454,,0.4119947814566808,0.44841834026482597
finan512,,0.30803185409147244,0.33652612577421825,0.23972915106964612,0.33675301541427144,0.20245721084349286,0.19466249966642613,,,0.34645431332092524,0.2851954829112977
luxembourg,,0.4506986410906487,0.5320460672548741,0.17561952651779647,0.600069928615158,0.3414304675802961,0.46343869742672317,,,0.3792525851291196,0.7601396999215533
fe_ocean,,0.10441544699511189,0.10847348613822101,0.06997683062018163,0.12378537588800087,0.08242439582512825,0.05981303713926288,,,0.12783289033527492,0.13991112146383816
