,FR,FR(RVS),SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.882992,0.905860,0.876422,0.626057,0.844903,0.680723,0.898677,0.927833,0.882319,0.850843,0.905077
lesmis,0.722604,0.626349,0.715805,0.626659,0.629070,0.747207,0.572193,0.687713,0.697319,0.655788,0.679510
can_96,0.536331,0.609178,0.527883,0.524351,0.567875,0.473739,0.411146,0.552652,0.657222,0.594709,0.640664
rajat11,0.640250,0.629106,0.677392,0.563163,0.625692,0.614867,0.374664,0.623315,0.724010,0.681480,0.677597
jazz,0.840600,0.775423,0.840290,0.776478,0.772967,0.831181,0.766314,0.829397,0.773811,0.771955,0.814171
visbrazil,0.463652,0.406885,0.467372,0.494628,0.505772,0.368928,0.322760,0.386588,0.545741,0.517057,0.518130
grid17,0.779692,0.795502,0.769581,0.393266,0.733297,0.686666,1.000000,1.000000,0.769037,0.710541,0.809479
mesh3e1,0.917452,0.776086,0.834126,0.629396,0.828305,0.632828,1.000000,1.000000,0.901764,0.808576,0.927488
netscience,0.601636,0.553327,0.604938,0.622246,0.644896,0.438077,0.309276,0.501306,0.729452,0.689690,0.688683
dwt_419,0.722539,0.631890,0.720064,0.473818,0.692820,0.694509,0.625828,0.758949,0.735499,0.694396,0.727044
cluster,0.378427,0.330560,0.377359,0.368285,0.378377,0.345640,0.288055,0.378335,0.371902,0.372325,0.379010
qh882,0.504654,0.489022,0.516229,0.422298,0.559730,0.259170,0.287694,0.412600,0.606318,0.578927,0.621880
price_1000,0.452105,0.416375,0.481780,0.556167,0.595891,0.344783,0.204604,0.205702,0.623543,0.601220,0.562782
dwt_1005,0.516468,0.558775,0.498461,0.405907,0.482819,0.464710,0.505951,0.561670,0.642052,0.511980,0.616064
cage8,0.225184,0.195908,0.222832,0.317769,0.262489,0.175458,0.117267,0.198827,0.424776,0.374605,0.327411
btree9,0.274895,0.254100,0.500405,0.742557,0.560009,0.114807,0.109254,0.085070,0.345495,0.588261,0.802259
bcsstk09,0.841991,0.865985,0.826125,0.475038,0.767081,0.682987,0.890812,0.967592,0.881422,0.787951,0.855759
1138_bus,0.359981,0.386410,0.427208,0.463770,0.515487,0.232087,0.200169,0.260572,0.566253,0.535932,0.589554
qh1484,0.440923,0.413140,0.460613,0.402284,0.528859,0.255193,0.275598,0.405448,0.559148,0.543486,0.608017
clusterHiera,0.460020,0.389535,0.460286,0.491421,0.495757,0.320014,0.260704,0.336615,0.497245,0.499305,0.488832
bcspwr07,0.343163,0.396704,0.431054,0.418941,0.489975,0.228878,0.201831,0.272917,0.525274,0.507386,0.577574
fidapex6,0.794508,0.608728,0.729452,0.534291,0.642060,0.331905,0.702423,0.858404,0.724510,0.738251,0.849520
block_2000,0.277618,0.231052,0.276015,0.332179,0.295564,0.141118,0.120109,0.159669,0.360198,0.308635,0.329864
sierpinski3d,0.482790,0.474653,0.510373,0.411263,0.495165,0.308348,0.427545,0.539391,0.557790,0.524592,0.598618
lp_ship04l,0.208219,0.150822,0.203835,0.495048,0.125025,0.190441,0.167972,0.205549,0.524651,0.457442,0.381826
data,0.691248,0.422178,0.645989,0.327327,0.583971,0.486352,0.690116,0.747739,0.691741,0.649608,0.794275
3elt,0.554131,0.464428,0.626781,0.225852,0.534415,0.350646,0.468631,0.512090,0.613429,0.592695,0.722708
USPowerGrid,0.241210,0.343972,0.378426,0.384848,0.470743,0.176208,0.121887,0.144967,0.441664,0.461098,0.521596
add32,0.300649,0.368540,0.429852,0.462376,0.520110,0.229305,0.094429,0.133356,0.539101,0.536615,0.493334
ca-GrQc,0.296914,0.261629,0.130971,0.453672,0.396355,0.057822,-0.002010,0.079766,0.480385,0.446354,0.384617
commanche,0.261089,0.213869,0.311434,0.195277,0.318772,0.180511,0.222879,0.303290,0.307435,0.340552,0.454729
EVA,0.789333,0.675591,0.488869,0.830704,0.842437,0.416193,0.121060,0.445577,0.660692,0.858590,0.747938
bcsstk33,0.291268,0.354088,0.305047,0.303527,0.304317,0.226087,0.292724,0.305512,0.385748,0.360688,0.420314
whitaker3,0.768113,0.463086,0.694918,0.156573,0.657580,0.535766,0.998457,0.994689,0.632458,0.706651,0.881053
crack,0.753563,0.703879,0.815600,0.180122,0.738832,0.626620,0.880878,0.826408,0.744320,0.774272,0.879750
fe_4elt2,0.375446,0.280826,0.422456,0.160315,0.423009,0.248004,0.329037,0.430392,0.460804,0.598096,0.568091
fidapex11,0.344870,0.229311,0.342300,0.291381,0.326873,0.233109,0.350122,0.366878,0.331093,0.345558,0.438753
bcsstk31,0.348392,0.295746,0.366731,0.221435,0.322843,0.219984,0.270939,0.325429,,0.370874,0.441417
