,FR,FR-RVS,Linlog,FA2,Maxent,SM,tsNET,t-FDP
dwt_72,0.926,0.953,0.966,0.966,0.957,1.000,1.000,0.947
lesmis,0.823,0.813,0.851,0.843,0.741,0.809,0.804,0.837
can_96,0.909,0.917,0.927,0.925,0.864,0.913,0.955,0.924
rajat11,0.912,0.910,0.930,0.924,0.840,0.925,0.932,0.928
jazz,0.765,0.742,0.779,0.774,0.726,0.754,0.776,0.776
visbrazil,0.893,0.903,0.937,0.930,0.856,0.907,0.921,0.927
grid17,0.944,0.947,0.964,0.980,0.987,1.000,1.000,0.968
mesh3e1,0.937,0.946,0.970,1.000,0.975,1.000,0.992,0.979
netscience,0.931,0.934,0.954,0.954,0.898,0.936,0.937,0.949
dwt_419,0.931,0.939,0.947,0.955,0.943,0.956,0.953,0.948
cluster,0.761,0.714,0.790,0.780,0.558,0.740,0.786,0.786
qh882,0.947,0.946,0.961,0.970,0.946,0.962,0.970,0.963
price_1000,0.940,0.956,0.984,0.992,0.905,0.942,0.994,0.981
dwt_1005,0.938,0.938,0.953,0.962,0.951,0.964,0.959,0.961
cage8,0.878,0.871,0.907,0.896,0.812,0.879,0.903,0.903
btree9,0.944,0.955,0.975,0.991,0.951,0.962,0.991,0.976
bcsstk09,0.935,0.921,0.942,0.958,0.955,0.958,0.943,0.947
1138_bus,0.935,0.944,0.969,0.981,0.943,0.966,0.979,0.969
qh1484,0.951,0.954,0.968,0.981,0.958,0.974,0.978,0.972
clusterHiera,0.863,0.860,0.895,0.883,0.765,0.822,0.891,0.892
bcspwr07,0.935,0.947,0.971,0.983,0.953,0.972,0.982,0.972
fidapex6,0.939,0.919,0.947,0.954,0.944,0.951,0.927,0.951
block_2000,0.885,0.879,0.907,0.895,0.786,0.862,0.907,0.904
sierpinski3d,0.956,0.958,0.972,0.983,0.973,0.983,0.982,0.975
lp_ship04l,0.849,0.811,0.886,0.839,0.713,0.791,0.875,0.868
data,0.953,0.952,0.962,0.980,0.979,0.981,0.973,0.971
3elt,0.950,0.955,0.971,0.988,0.982,0.988,0.979,0.973
USPowerGrid,0.937,0.945,0.970,0.987,0.960,0.976,0.984,0.968
add32,0.953,0.952,0.974,0.988,0.937,0.959,0.983,0.975
ca-GrQc,0.912,0.900,0.935,0.935,0.849,0.899,0.552,0.924
commanche,0.945,0.946,0.968,0.988,0.985,0.990,0.983,0.967
EVA,0.975,0.967,0.989,0.988,0.686,0.961,0.546,0.985
bcsstk33,0.939,0.922,0.946,0.949,0.943,0.946,0.931,0.949
whitaker3,0.949,0.954,0.966,0.991,0.988,0.997,0.976,0.970
crack,0.952,0.954,0.966,0.990,0.987,0.996,0.974,0.969
fe_4elt2,0.953,0.954,0.966,0.989,0.986,0.992,0.975,0.970
fidapex11,0.953,0.931,0.958,0.967,0.963,0.965,0.931,0.963
bcsstk31,0.958,0.937,0.965,0.981,0.976,0.979,NaN,0.971
bcsstk32,NaN,0.934,0.966,0.983,0.977,NaN,NaN,0.975
finan512,NaN,0.948,0.969,0.987,0.980,NaN,NaN,0.955
luxembourg,NaN,0.958,0.971,0.991,0.991,NaN,NaN,0.942
fe_ocean,NaN,0.945,0.963,0.990,0.988,NaN,NaN,0.921
