,FR,FR-RVS,Linlog,FA2,Maxent,SM,tsNET,t-FDP
dwt_72,0.494,0.514,0.513,0.522,0.385,0.537,0.536,0.529
lesmis,0.186,0.175,0.215,0.215,0.128,0.174,0.354,0.133
can_96,0.381,0.325,0.104,0.227,0.296,0.295,0.397,0.299
rajat11,0.151,0.159,0.235,0.187,0.140,0.183,0.148,0.159
jazz,0.034,0.035,0.045,0.055,0.035,0.043,0.036,0.023
visbrazil,0.229,0.276,0.355,0.316,0.147,0.247,0.268,0.348
grid17,0.502,0.532,0.563,0.786,0.633,0.931,0.877,0.751
mesh3e1,0.349,0.447,0.282,0.566,0.604,0.909,0.708,0.647
netscience,0.242,0.211,0.237,0.257,0.141,0.233,0.336,0.196
dwt_419,0.102,0.143,0.047,0.117,0.126,0.216,0.118,0.114
cluster,0.033,0.029,0.034,0.038,0.026,0.034,0.038,0.033
qh882,0.327,0.322,0.359,0.416,0.221,0.441,0.398,0.438
price_1000,0.294,0.379,0.456,0.409,0.205,0.352,0.260,0.484
dwt_1005,0.207,0.173,0.065,0.164,0.231,0.342,0.261,0.233
cage8,0.109,0.106,0.088,0.106,0.076,0.114,0.073,0.096
btree9,0.250,0.418,0.573,0.368,0.356,0.222,0.192,0.682
bcsstk09,0.045,0.053,0.029,0.032,0.102,0.046,0.032,0.060
1138_bus,0.365,0.369,0.412,0.374,0.216,0.383,0.360,0.452
qh1484,0.326,0.320,0.365,0.392,0.209,0.435,0.375,0.443
clusterHiera,0.028,0.027,0.034,0.033,0.026,0.028,0.032,0.022
bcspwr07,0.371,0.378,0.425,0.388,0.201,0.390,0.377,0.473
fidapex6,0.024,0.029,0.013,0.023,0.029,0.022,0.005,0.003
block_2000,0.075,0.076,0.107,0.094,0.063,0.080,0.092,0.093
sierpinski3d,0.143,0.135,0.125,0.116,0.104,0.254,0.181,0.143
lp_ship04l,0.098,0.053,0.275,0.174,0.032,0.070,0.058,0.075
data,0.110,0.098,0.033,0.069,0.170,0.259,0.105,0.095
3elt,0.316,0.242,0.118,0.325,0.074,0.474,0.329,0.316
USPowerGrid,0.365,0.365,0.414,0.367,0.206,0.343,0.347,0.432
add32,0.309,0.284,0.303,0.289,0.188,0.276,0.225,0.336
ca-GrQc,0.237,0.207,0.238,0.221,0.158,0.211,0.163,0.211
commanche,0.444,0.414,0.612,0.426,0.167,0.614,0.440,0.561
EVA,0.375,0.334,0.441,0.378,0.436,0.390,0.206,0.449
bcsstk33,0.006,0.011,0.003,0.005,0.009,0.005,0.000,0.000
whitaker3,0.323,0.237,0.128,0.339,0.354,0.774,0.291,0.267
crack,0.315,0.225,0.192,0.431,0.106,0.651,0.303,0.306
fe_4elt2,0.308,0.227,0.124,0.317,0.460,0.561,0.249,0.249
fidapex11,0.005,0.011,0.002,0.004,0.010,0.005,0.001,0.001
bcsstk31,0.008,0.024,0.004,0.006,0.033,0.017,NaN,0.001
bcsstk32,NaN,0.015,0.001,0.003,0.021,NaN,NaN,0.000
finan512,NaN,0.138,0.102,0.118,0.161,NaN,NaN,0.117
luxembourg,NaN,0.471,0.494,0.479,0.420,NaN,NaN,0.493
fe_ocean,NaN,0.186,0.206,0.268,0.179,NaN,NaN,0.219
