,FR,FR-RVS,Linlog,FA2,Maxent,SM,tsNET,t-FDP
dwt_72,0.464,0.623,0.671,0.716,0.570,0.922,0.882,0.670
lesmis,0.680,0.627,0.638,0.619,0.515,0.661,0.694,0.653
can_96,0.515,0.614,0.523,0.557,0.477,0.549,0.650,0.636
rajat11,0.549,0.537,0.601,0.574,0.345,0.620,0.717,0.636
jazz,0.821,0.779,0.775,0.768,0.747,0.823,0.774,0.806
visbrazil,0.363,0.357,0.493,0.491,0.271,0.390,0.540,0.499
grid17,0.356,0.428,0.439,0.622,0.718,1.000,0.769,0.623
mesh3e1,0.384,0.497,0.543,0.810,0.806,1.000,0.887,0.848
netscience,0.436,0.438,0.579,0.624,0.287,0.479,0.723,0.640
dwt_419,0.386,0.487,0.513,0.653,0.597,0.758,0.723,0.616
cluster,0.374,0.340,0.368,0.379,0.273,0.376,0.370,0.377
qh882,0.238,0.289,0.435,0.520,0.257,0.404,0.610,0.532
price_1000,0.277,0.225,0.552,0.590,0.122,0.207,0.620,0.527
dwt_1005,0.268,0.298,0.385,0.465,0.413,0.539,0.629,0.531
cage8,0.210,0.203,0.338,0.262,0.115,0.199,0.423,0.326
btree9,0.153,0.167,0.696,0.536,0.081,0.087,0.348,0.713
bcsstk09,0.494,0.390,0.544,0.768,0.876,0.969,0.784,0.741
1138_bus,0.129,0.157,0.453,0.481,0.147,0.249,0.567,0.493
qh1484,0.192,0.224,0.406,0.483,0.230,0.394,0.551,0.488
clusterHiera,0.456,0.399,0.491,0.495,0.259,0.339,0.473,0.489
bcspwr07,0.106,0.130,0.409,0.439,0.159,0.259,0.523,0.460
fidapex6,0.527,0.400,0.544,0.602,0.679,0.805,0.717,0.783
block_2000,0.269,0.241,0.333,0.296,0.107,0.154,0.360,0.327
sierpinski3d,0.186,0.210,0.396,0.470,0.375,0.525,0.558,0.484
lp_ship04l,0.214,0.117,0.495,0.124,0.154,0.188,0.522,0.374
data,0.218,0.257,0.322,0.502,0.643,0.693,0.645,0.523
3elt,0.071,0.099,0.234,0.410,0.356,0.495,0.474,0.323
USPowerGrid,0.061,0.051,0.363,0.410,0.099,0.145,0.435,0.339
add32,0.132,0.107,0.385,0.474,0.086,0.143,0.531,0.369
ca-GrQc,0.273,0.225,0.456,0.397,0.000,0.098,0.012,0.372
commanche,0.028,0.032,0.183,0.231,0.181,0.299,0.270,0.169
EVA,0.705,0.392,0.844,0.841,0.063,0.370,0.012,0.743
bcsstk33,0.281,0.240,0.326,0.305,0.294,0.301,0.387,0.413
whitaker3,0.037,0.055,0.153,0.345,0.365,0.907,0.227,0.168
crack,0.043,0.062,0.161,0.356,0.354,0.687,0.222,0.167
fe_4elt2,0.039,0.052,0.157,0.290,0.252,0.464,0.214,0.159
fidapex11,0.237,0.167,0.268,0.317,0.349,0.357,0.218,0.388
bcsstk31,0.097,0.064,0.215,0.274,0.253,0.303,NaN,0.260
bcsstk32,NaN,0.059,0.216,0.303,0.298,NaN,NaN,0.311
finan512,NaN,0.034,0.239,0.300,0.162,NaN,NaN,0.120
luxembourg,NaN,0.002,0.163,0.111,0.022,NaN,NaN,0.028
fe_ocean,NaN,0.007,0.070,0.098,0.052,NaN,NaN,0.011
