,FR,FR-RVS,Linlog,FA2,Maxent,SM,tsNET,t-FDP
dwt_72,0.160,0.114,0.193,0.113,0.070,0.029,0.043,0.144
lesmis,0.132,0.120,0.205,0.157,0.145,0.088,0.131,0.143
can_96,0.097,0.086,0.092,0.075,0.107,0.070,0.083,0.084
rajat11,0.120,0.119,0.181,0.201,0.152,0.066,0.136,0.144
jazz,0.151,0.148,0.241,0.175,0.136,0.104,0.163,0.160
visbrazil,0.160,0.131,0.175,0.134,0.096,0.062,0.102,0.109
grid17,0.162,0.145,0.136,0.081,0.046,0.014,0.020,0.093
mesh3e1,0.160,0.128,0.100,0.020,0.025,0.002,0.043,0.035
netscience,0.179,0.146,0.194,0.182,0.093,0.063,0.137,0.174
dwt_419,0.171,0.128,0.140,0.067,0.029,0.016,0.112,0.095
cluster,0.187,0.208,0.225,0.199,0.239,0.183,0.211,0.198
qh882,0.227,0.206,0.235,0.145,0.071,0.057,0.217,0.200
price_1000,0.189,0.161,0.200,0.242,0.117,0.093,0.163,0.153
dwt_1005,0.218,0.219,0.229,0.099,0.068,0.033,0.245,0.114
cage8,0.159,0.158,0.191,0.151,0.165,0.120,0.194,0.151
btree9,0.212,0.204,0.217,0.190,0.139,0.116,0.180,0.207
bcsstk09,0.132,0.169,0.124,0.032,0.017,0.015,0.153,0.074
1138_bus,0.222,0.191,0.219,0.154,0.100,0.065,0.187,0.183
qh1484,0.292,0.260,0.285,0.140,0.075,0.043,0.182,0.247
clusterHiera,0.176,0.167,0.226,0.202,0.161,0.138,0.192,0.170
bcspwr07,0.275,0.238,0.250,0.175,0.096,0.058,0.202,0.235
fidapex6,0.135,0.189,0.117,0.072,0.028,0.022,0.191,0.039
block_2000,0.171,0.172,0.225,0.199,0.178,0.142,0.202,0.172
sierpinski3d,0.325,0.299,0.332,0.146,0.077,0.064,0.280,0.298
lp_ship04l,0.180,0.189,0.232,0.222,0.188,0.145,0.187,0.169
data,0.334,0.306,0.337,0.135,0.023,0.022,0.358,0.270
3elt,0.336,0.311,0.283,0.146,0.082,0.045,0.278,0.261
USPowerGrid,0.272,0.259,0.259,0.183,0.098,0.058,0.256,0.254
add32,0.201,0.179,0.220,0.206,0.152,0.081,0.216,0.181
ca-GrQc,0.104,0.106,0.141,0.211,0.108,0.080,0.175,0.103
commanche,0.470,0.458,0.436,0.217,0.078,0.029,0.374,0.428
EVA,0.057,0.051,0.063,0.082,0.037,0.028,0.097,0.049
bcsstk33,0.130,0.182,0.146,0.095,0.045,0.046,0.218,0.112
whitaker3,0.482,0.453,0.449,0.184,0.122,0.013,0.393,0.404
crack,0.422,0.400,0.394,0.160,0.095,0.026,0.368,0.370
fe_4elt2,0.462,0.446,0.439,0.235,0.125,0.046,0.414,0.408
fidapex11,0.202,0.254,0.190,0.078,0.030,0.024,0.340,0.111
bcsstk31,0.322,0.364,0.344,0.128,0.057,0.049,NaN,0.283
bcsstk32,NaN,0.356,0.328,0.213,0.100,NaN,NaN,0.265
finan512,NaN,0.427,0.418,0.316,0.088,NaN,NaN,0.439
luxembourg,NaN,0.632,0.639,0.534,0.481,NaN,NaN,0.680
fe_ocean,NaN,0.468,0.461,0.233,0.154,NaN,NaN,0.519
