,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.036540,0.044151,0.046703,0.171938,0.056840,0.068921,0.034294,0.028371,0.043192,0.094574,0.059313
lesmis,0.125881,0.225239,0.122264,0.212888,0.149144,0.155061,0.126422,0.081401,0.125886,0.173424,0.130115
can_96,0.073721,0.091166,0.073574,0.083242,0.075317,0.086208,0.149493,0.073214,0.082538,0.086849,0.082392
rajat11,0.075242,0.092308,0.073026,0.178902,0.182853,0.116626,0.119855,0.062816,0.107288,0.153708,0.100433
jazz,0.145892,0.155905,0.146603,0.250303,0.174605,0.168685,0.131312,0.101375,0.161141,0.187530,0.151384
visbrazil,0.082219,0.122777,0.085993,0.185779,0.119093,0.194219,0.085547,0.060173,0.096792,0.128381,0.082999
grid17,0.018253,0.019131,0.019075,0.171188,0.024930,0.026913,0.013678,0.013640,0.020469,0.025289,0.016526
mesh3e1,0.007920,0.029886,0.014748,0.065323,0.017197,0.041740,0.002545,0.002484,0.012470,0.016306,0.005981
netscience,0.086989,0.149228,0.110929,0.175159,0.117876,0.144553,0.082320,0.056386,0.107288,0.167141,0.091750
dwt_419,0.021940,0.069264,0.035320,0.180292,0.048145,0.033368,0.025772,0.015567,0.027516,0.044228,0.022350
cluster,0.186114,0.210369,0.186517,0.224975,0.198799,0.238908,0.229633,0.181888,0.212363,0.208216,0.197907
qh882,0.066358,0.116972,0.079870,0.244333,0.092237,0.099112,0.058948,0.047946,0.095497,0.098453,0.065851
price_1000,0.136761,0.260933,0.126512,0.197735,0.188067,0.278547,0.111935,0.092453,0.155587,0.178603,0.125189
dwt_1005,0.025935,0.045035,0.029636,0.225339,0.032752,0.030141,0.040315,0.021223,0.037651,0.040891,0.027938
cage8,0.141742,0.173946,0.138950,0.227345,0.150691,0.158681,0.156101,0.118125,0.186074,0.169101,0.142547
btree9,0.138457,0.314165,0.143852,0.198925,0.158885,0.300734,0.122591,0.115186,0.156103,0.161471,0.151189
bcsstk09,0.022033,0.018197,0.023076,0.152085,0.031965,0.041368,0.016664,0.015299,0.020099,0.026414,0.018853
1138_bus,0.082298,0.156471,0.087717,0.217946,0.102995,0.133189,0.070512,0.061803,0.129360,0.110992,0.084677
qh1484,0.075353,0.129524,0.068883,0.300093,0.067594,0.102994,0.055660,0.035166,0.099554,0.089404,0.055851
clusterHiera,0.164352,0.160592,0.160341,0.221534,0.197638,0.189556,0.159739,0.137780,0.175731,0.205482,0.162784
bcspwr07,0.065139,0.124600,0.086269,0.220271,0.090673,0.099080,0.059969,0.045718,0.094946,0.100150,0.063705
fidapex6,0.030909,0.051291,0.041087,0.109045,0.067291,0.084616,0.024505,0.016870,0.066787,0.040539,0.021720
block_2000,0.163342,0.168562,0.163782,0.221737,0.187790,0.181282,0.165484,0.139869,0.186742,0.212413,0.162268
sierpinski3d,0.082758,0.109073,0.079351,0.308741,0.091953,0.086754,0.065292,0.062599,0.087548,0.084805,0.082134
lp_ship04l,0.173301,0.272625,0.173753,0.235677,0.220599,0.176986,0.183802,0.139365,0.173662,0.201246,0.158134
data,0.043683,0.056559,0.026739,0.356543,0.054250,0.026451,0.022120,0.009663,0.102135,0.103842,0.019592
3elt,0.049379,0.104820,0.066175,0.300509,0.062009,0.063628,0.052693,0.037961,0.068760,0.094567,0.049466
USPowerGrid,0.077330,0.118393,0.096034,0.214519,0.103708,0.097353,0.083697,0.057499,0.103469,0.163369,0.080466
add32,0.116186,0.256677,0.196290,0.211052,0.155155,0.213169,0.145725,0.079502,0.154397,0.166465,0.107228
ca-GrQc,0.101636,0.119323,0.092516,0.140775,0.204361,0.133819,0.105770,0.077208,0.129810,0.175873,0.101613
commanche,0.075116,0.116961,0.038492,0.389395,0.066198,0.080106,0.071506,0.026526,0.119759,0.064265,0.051201
