graph\perplexity,5,10,15,20,30,40,50,60,70,80,t-FDP
dwt_72,0.835,0.855,0.857,0.864,0.878,0.882,0.888,0.874,0.700,0.700,0.905
lesmis,0.650,0.657,0.666,0.674,0.689,0.697,0.710,0.725,0.713,0.677,0.680
can_96,0.705,0.717,0.719,0.712,0.633,0.657,0.652,0.650,0.651,0.649,0.641
rajat11,0.632,0.666,0.665,0.689,0.708,0.724,0.733,0.731,0.726,0.715,0.678
jazz,0.770,0.767,0.769,0.770,0.772,0.774,0.779,0.788,0.791,0.794,0.814
visbrazil,0.531,0.535,0.544,0.548,0.553,0.546,0.534,0.536,0.534,0.539,0.518
grid17,0.845,0.827,0.822,0.800,0.777,0.769,0.775,0.768,0.771,0.771,0.809
mesh3e1,0.948,0.941,0.915,0.903,0.897,0.902,0.912,0.917,0.931,0.941,0.927
netscience,0.703,0.716,0.721,0.724,0.723,0.729,0.731,0.730,0.730,0.727,0.689
dwt_419,0.683,0.713,0.724,0.733,0.731,0.735,0.746,0.747,0.741,0.746,0.727
Cluster800_2,0.371,0.371,0.371,0.371,0.371,0.372,0.373,0.373,0.374,0.374,0.379
qh882,0.619,0.617,0.614,0.612,0.612,0.606,0.605,0.602,0.602,0.604,0.622
price_1000,0.634,0.632,0.626,0.628,0.624,0.624,0.615,0.614,0.610,0.604,0.563
dwt_1005,0.691,0.692,0.690,0.681,0.657,0.642,0.626,0.615,0.604,0.598,0.616
cage8,0.415,0.418,0.419,0.420,0.424,0.425,0.424,0.427,0.428,0.430,0.327
btree9,0.543,0.496,0.354,0.346,0.345,0.345,0.345,0.346,0.345,0.345,0.802
bcsstk09,0.877,0.877,0.878,0.882,0.883,0.881,0.880,0.877,0.876,0.873,0.856
1138_bus,0.621,0.602,0.590,0.585,0.576,0.566,0.562,0.562,0.558,0.554,0.590
qh1484,0.603,0.601,0.592,0.587,0.571,0.559,0.549,0.542,0.534,0.530,0.608
ClusterHiera1600_2,0.489,0.489,0.489,0.489,0.493,0.497,0.500,0.503,0.505,0.506,0.489
bcspwr07,0.592,0.580,0.565,0.553,0.535,0.525,0.518,0.511,0.502,0.497,0.578
fidapex6,0.712,0.712,0.712,0.714,0.719,0.725,0.732,0.739,0.745,0.751,0.850
block_2000,0.357,0.357,0.358,0.359,0.361,0.360,0.360,0.360,0.360,0.360,0.330
sierpinski3d,0.592,0.581,0.568,0.563,0.558,0.558,0.556,0.557,0.557,0.557,0.599
lp_ship04l,0.492,0.508,0.513,0.516,0.520,0.525,0.529,0.534,0.537,0.540,0.382
data,0.690,0.691,0.691,0.692,0.694,0.692,0.688,0.684,0.681,0.678,0.794
3elt,0.586,0.595,0.602,0.604,0.609,0.613,0.613,0.612,0.610,0.611,0.723
USPowerGrid,0.477,0.475,0.468,0.461,0.450,0.442,0.437,0.433,0.428,0.424,0.522
add32,0.548,0.543,0.540,0.539,0.540,0.539,0.537,0.535,0.531,0.529,0.493
ca-GrQc,0.471,0.474,0.518,0.457,0.438,0.480,0.494,0.433,0.506,0.504,0.385
commanche_dual,0.298,0.305,0.309,0.310,0.310,0.307,0.308,0.311,0.313,0.314,0.455
EVA,0.643,0.670,0.764,0.652,0.753,0.661,0.685,0.670,0.694,0.673,0.748
bcsstk33,0.385,0.385,0.385,0.385,0.385,0.386,0.387,0.388,0.389,0.389,0.420
whitaker3,0.613,0.618,0.623,0.626,0.630,0.632,0.635,0.637,0.637,0.637,0.881
crack,0.732,0.737,0.741,0.743,0.745,0.744,0.743,0.742,0.741,0.740,0.880
fe_4elt2,0.382,0.396,0.409,0.426,0.447,0.461,0.469,0.474,0.478,0.480,0.568
fidapex11,0.330,0.330,0.330,0.330,0.331,0.331,0.332,0.334,0.336,0.338,0.439
